"","box","date","phase","site","eggs","chicks","eggDev","chickDev","mean_chick_weight","interpolled","mean_weightDev"
"245","Z34","2022-04-17",NA,"Z",0,0,-1.78571428571429,0,NA,NA,NA
"246","Z22","2022-04-17","Pre-Lay","Z",0,0,-1.78571428571429,0,NA,NA,NA
"247","Y04","2022-04-17","Incubation","Y",5,0,3.4,0,NA,NA,NA
"248","Z13","2022-04-17","Incubation","Z",4,0,2.21428571428571,0,NA,NA,NA
"249","Z25","2022-04-17","Pre-Lay","Z",0,0,-1.78571428571429,0,NA,NA,NA
"250","Z10","2022-04-17","Pre-Lay","Z",0,0,-1.78571428571429,0,NA,NA,NA
"251","Z23","2022-04-17","Incubation","Z",3,0,1.21428571428571,0,NA,NA,NA
"252","Y14","2022-04-17","Pre-Lay","Y",0,0,-1.6,0,NA,NA,NA
"253","X01","2022-04-17",NA,"X",0,0,-1.52941176470588,0,NA,NA,NA
"254","X27","2022-04-17","Pre-Lay","X",0,0,-1.52941176470588,0,NA,NA,NA
"255","X35","2022-04-17","Incubation","X",3,0,1.47058823529412,0,NA,NA,NA
"256","Y34","2022-04-17","Pre-Lay","Y",0,0,-1.6,0,NA,NA,NA
"257","Y13","2022-04-17",NA,"Y",0,0,-1.6,0,NA,NA,NA
"258","X28","2022-04-17",NA,"X",0,0,-1.52941176470588,0,NA,NA,NA
"259","Y24","2022-04-17","Incubation","Y",5,0,3.4,0,NA,NA,NA
"260","Y32","2022-04-17","Pre-Lay","Y",0,0,-1.6,0,NA,NA,NA
"261","Y33","2022-04-17","Pre-Lay","Y",0,0,-1.6,0,NA,NA,NA
"262","Z31","2022-04-17","Incubation","Z",1,0,-0.785714285714286,0,NA,NA,NA
"263","Z02","2022-04-17","Incubation","Z",3,0,1.21428571428571,0,NA,NA,NA
"264","Z08","2022-04-17","Incubation","Z",3,0,1.21428571428571,0,NA,NA,NA
"265","Z26","2022-04-17","Incubation","Z",1,0,-0.785714285714286,0,NA,NA,NA
"266","Z43","2022-04-17","Incubation","Z",2,0,0.214285714285714,0,NA,NA,NA
"267","Y35","2022-04-17","Incubation","Y",4,0,2.4,0,NA,NA,NA
"268","Z38","2022-04-17","Incubation","Z",1,0,-0.785714285714286,0,NA,NA,NA
"269","Z18","2022-04-17","Incubation","Z",1,0,-0.785714285714286,0,NA,NA,NA
"270","Z05","2022-04-17","Incubation","Z",3,0,1.21428571428571,0,NA,NA,NA
"271","Z29","2022-04-17","Incubation","Z",4,0,2.21428571428571,0,NA,NA,NA
"272","Z41","2022-04-17","Incubation","Z",5,0,3.21428571428571,0,NA,NA,NA
"273","Z44","2022-04-17","Pre-Lay","Z",0,0,-1.78571428571429,0,NA,NA,NA
"274","Z16","2022-04-17","Incubation","Z",2,0,0.214285714285714,0,NA,NA,NA
"275","Z17","2022-04-17","Incubation","Z",2,0,0.214285714285714,0,NA,NA,NA
"276","Z33","2022-04-17","Pre-Lay","Z",0,0,-1.78571428571429,0,NA,NA,NA
"277","Z37","2022-04-17",NA,"Z",0,0,-1.78571428571429,0,NA,NA,NA
"278","Z03","2022-04-17","Incubation","Z",4,0,2.21428571428571,0,NA,NA,NA
"279","Z45","2022-04-17","Incubation","Z",1,0,-0.785714285714286,0,NA,NA,NA
"280","Z39","2022-04-17","Incubation","Z",5,0,3.21428571428571,0,NA,NA,NA
"281","Z42","2022-04-17","Incubation","Z",1,0,-0.785714285714286,0,NA,NA,NA
"282","Z40","2022-04-17","Incubation","Z",2,0,0.214285714285714,0,NA,NA,NA
"283","Z21","2022-04-17","Pre-Lay","Z",0,0,-1.78571428571429,0,NA,NA,NA
"284","Z35","2022-04-17","Incubation","Z",2,0,0.214285714285714,0,NA,NA,NA
