"","site","date","phase"
"663","Y",2022-06-14,"Fledge"
"664","Y",2022-06-15,"Fledge"
"665","Y",2022-06-16,"Fledge"
"666","Y",2022-06-17,"Fledge"
"667","Y",2022-06-18,"Fledge"
"668","Y",2022-06-19,"Fledge"
"669","Y",2022-06-20,"Fledge"
"670","Y",2022-06-21,"Fledge"
"671","Y",2022-06-22,"Fledge"
"672","Y",2022-06-23,"Fledge"
"673","Y",2022-06-24,"Fledge"
"674","Y",2022-06-25,"Fledge"
"675","Y",2022-06-26,"Fledge"
"676","Y",2022-06-27,"Fledge"
"677","Y",2022-06-28,"Fledge"
"678","Y",2022-06-29,"Fledge"
"679","Y",2023-03-25,"Pre-Lay"
"680","Y",2023-03-26,"Pre-Lay"
"681","Y",2023-03-27,"Pre-Lay"
"682","Y",2023-03-28,"Pre-Lay"
"683","Y",2023-03-29,"Pre-Lay"
"684","Y",2023-03-30,"Pre-Lay"
"685","Y",2023-03-31,"Pre-Lay"
"686","Y",2023-04-01,"Pre-Lay"
"687","Y",2023-04-02,"Pre-Lay"
"688","Y",2023-04-03,"Pre-Lay"
"689","Y",2023-04-04,"Pre-Lay"
"690","Y",2023-04-05,"Pre-Lay"
"691","Y",2023-04-06,"Pre-Lay"
"692","Y",2023-04-07,"Pre-Lay"
"693","Y",2023-04-08,"Pre-Lay"
"694","Y",2023-04-09,"Pre-Lay"
"695","Y",2023-04-10,"Pre-Lay"
"696","Y",2023-04-11,"Pre-Lay"
"697","Y",2023-04-12,"Pre-Lay"
"698","Y",2023-04-13,"Pre-Lay"
"699","Y",2023-04-14,"Pre-Lay"
"700","Y",2023-04-15,"Pre-Lay"
"701","Y",2023-04-16,"Pre-Lay"
"702","Y",2023-04-17,"Pre-Lay"
"703","Y",2023-04-18,"Incubation"
"704","Y",2023-04-19,"Incubation"
"705","Y",2023-04-20,"Incubation"
"706","Y",2023-04-21,"Incubation"
"707","Y",2023-04-22,"Incubation"
"708","Y",2023-04-23,"Incubation"
"709","Y",2023-04-24,"Incubation"
"710","Y",2023-04-25,"Incubation"
"711","Y",2023-04-26,"Incubation"
"712","Y",2023-04-27,"Incubation"
"713","Y",2023-04-28,"Incubation"
"714","Y",2023-04-29,"Incubation"
"715","Y",2023-04-30,"Incubation"
"716","Y",2023-05-01,"Incubation"
"717","Y",2023-05-02,"Incubation"
"718","Y",2023-05-03,"Incubation"
"719","Y",2023-05-04,"Incubation"
"720","Y",2023-05-05,"Incubation"
"721","Y",2023-05-06,"Incubation"
"722","Y",2023-05-07,"Provisioning"
"723","Y",2023-05-08,"Provisioning"
"724","Y",2023-05-09,"Provisioning"
"725","Y",2023-05-10,"Provisioning"
"726","Y",2023-05-11,"Provisioning"
"727","Y",2023-05-12,"Provisioning"
"728","Y",2023-05-13,"Provisioning"
"729","Y",2023-05-14,"Provisioning"
"730","Y",2023-05-15,"Provisioning"
"731","Y",2023-05-16,"Provisioning"
"732","Y",2023-05-17,"Provisioning"
"733","Y",2023-05-18,"Provisioning"
"734","Y",2023-05-19,"Provisioning"
"735","Y",2023-05-20,"Provisioning"
"736","Y",2023-05-21,"Provisioning"
"737","Y",2023-05-22,"Provisioning"
"738","Y",2023-05-23,"Provisioning"
"739","Y",2023-05-24,"Provisioning"
"740","Y",2023-05-25,"Provisioning"
"741","Y",2023-05-26,"Provisioning"
"742","Y",2023-05-27,"Provisioning"
"743","Y",2023-05-28,"Provisioning"
"744","Y",2023-05-29,"Provisioning"
"745","Y",2023-05-30,"Provisioning"
"746","Y",2023-05-31,"Provisioning"
"747","Y",2023-06-01,"Provisioning"
"748","Y",2023-06-02,"Provisioning"
"749","Y",2023-06-03,"Provisioning"
"750","Y",2023-06-04,"Provisioning"
"751","Y",2023-06-05,"Provisioning"
"752","Y",2023-06-06,"Provisioning"
"753","Y",2023-06-07,"Provisioning"
"754","Y",2023-06-08,"Provisioning"
"755","Y",2023-06-09,"Provisioning"
"756","Y",2023-06-10,"Provisioning"
"757","Y",2023-06-11,"Fledge"
"758","Y",2023-06-12,"Fledge"
"759","Y",2023-06-13,"Fledge"
"760","Y",2023-06-14,"Fledge"
"761","Y",2023-06-15,"Fledge"
"762","Y",2023-06-16,"Fledge"
"763","Y",2023-06-17,"Fledge"
"764","Y",2023-06-18,"Fledge"
"765","Y",2023-06-19,"Fledge"
